Identificador;Fecha reporte;Localidad;Barrio;Upz;Dirección;Tipo de afectación;Factor Humano
5390856;1/2/2022;11 Suba;ORQUIDEAS;27 - SUBA;KR 99 158 30;Incendio Estructuras;
5390855;1/2/2022;10 Engativa;LOS CEREZOS;29 - MINUTO DE DIOS;CL 80 86 0;Quemas - Basuras;Si
5390854;1/2/2022;4 San CristÃ³bal;SAN VICENTE ALTO;32 - SAN BLAS;KR 9 ESTE 36G SUR 43;Daño en redes de servicio públicos alcantarillado;Si
5390853;1/2/2022;7 Bosa;NICOLAS ESCOBAR;N/A;AC 59 SUR 77G;Incendio Vehicular - Conato Vehicular;Si
5390852;1/2/2022;1 Usaquen;USAQUEN;N/A;CL 172 KR 8;Incendio Vehicular - Conato Vehicular;Si
5390851;1/2/2022;9 FontibÃ³n;H.B.;76 - FONTIBON SAN PABLO;CL 22D 120 19;Quemas - Basuras;Si
5390850;1/2/2022;11 Suba;SAN JOSE DEL PRADO;24 - NIZA;KR 58 137-18;Hallazgo de materiales peligrosos;Si
5390849;1/2/2022;5 Usme;VEREDA LA REQUILINA;N/A;CL 137 SUR 2 ESTE 2;Quemas - Basuras;Si
5390848;1/2/2022;7 Bosa;OSORIO DIEZ;86 - EL PORVENIR;KR 97C 49C SUR 15;Daño en redes de servicio públicos energía;Si
5390847;1/2/2022;11 Suba;CASA BLANCA;3 - GUAYMARAL;CL 236 72 50;Abejas - Existencia de Panales o Colmenas de Abejas;No
5390846;1/2/2022;10 Engativa;FLORIDA BLANCA;30 - BOYACA REAL;CL 69A 94 8;Daño en redes de servicio públicos energía;Si
5390845;1/2/2022;19 Ciudad BolÃ­var;ARBORIZADORA ALTA;70 - JERUSALEM;CL 73B SUR 38A 61;Daño en redes de servicio públicos alcantarillado;Si
5390844;1/2/2022;16 Puente Aranda;LA ASUNCION;40 - CIUDAD MONTES;CL 2B 32 0;Daño en redes de servicio públicos alcantarillado;Si
